date,newCasesByPublishDate,cumCasesByPublishDate,newVirusTests,cumVirusTests,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate,newAdmissions,cumAdmissions,covidOccupiedMVBeds,hospitalCases,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
2021-09-17,32651,7371301,928670.0,286058549,78,161446,751,539262,1011,7896,21770.0,48550671,60447.0,44358523,89.29999999999998,81.59999999999998
2021-09-16,26911,7339009,1059522.0,285065468,93,161368,878,538511,1020,8103,23833.0,48528901,63999.0,44298076,89.29999999999998,81.5
2021-09-15,30597,7312683,1084585.0,283870931,123,161275,938,537633,1081,8388,24890.0,48505068,63704.0,44234077,89.2,81.4
2021-09-14,26628,7282810,882827.0,282708430,124,161152,939,536695,1060,8386,21478.0,48480178,61627.0,44170373,89.2,81.29999999999998
2021-09-13,30825,7256559,1043118.0,281728876,97,161028,931,535756,1056,8466,19428.0,48458700,60653.0,44108746,89.2,81.2
2021-09-12,29173,7226276,1079196.0,280534263,119,160931,858,534825,1055,8244,14955.0,48439272,52615.0,44048093,89.09999999999998,81.0
2021-09-11,29547,7197662,746405.0,279408899,129,160812,850,533967,1027,8135,27913.0,48424317,98059.0,43995478,89.09999999999998,80.9
2021-09-10,37622,7168806,1066296.0,278591406,141,160683,916,533117,1056,8307,26064.0,48396404,91811.0,43897419,89.0,80.79999999999998
2021-09-09,38013,7132072,1241334.0,277383762,167,160542,1030,532201,1051,8137,25774.0,48370340,96702.0,43805608,89.0,80.59999999999998
2021-09-08,38975,7094592,1254874.0,275970459,132,160375,1161,531171,1060,8129,25131.0,48344566,87960.0,43708906,88.9,80.4
2021-09-07,37489,7056106,1169945.0,274558295,156,160243,1096,530010,1047,7973,26624.0,48319435,85848.0,43620946,88.9,80.29999999999998
2021-09-06,41192,7018927,1346631.0,273230674,147,160087,1071,528914,1062,8031,22698.0,48292811,80015.0,43535098,88.79999999999998,80.09999999999998
2021-09-05,37011,6978126,1038794.0,271747668,147,159940,876,527843,1018,7748,21795.0,48270113,73193.0,43455083,88.79999999999998,79.9
2021-09-04,37578,6941611,757917.0,270654568,132,159793,946,526967,1019,7551,41054.0,48248318,128553.0,43381890,88.79999999999998,79.79999999999998
2021-09-03,42076,6904969,1190266.0,269834674,146,159661,923,526021,1034,7667,35266.0,48207264,110590.0,43253337,88.7,79.59999999999998
2021-09-02,38154,6862904,1155929.0,268541805,133,159515,998,525098,1038,7617,40002.0,48171998,119375.0,43142747,88.59999999999998,79.4
2021-09-01,35693,6825074,1027203.0,267252232,113,159382,1075,524100,1030,7676,44088.0,48131996,113385.0,43023372,88.59999999999998,79.2
2021-08-31,32181,6789581,921219.0,266162196,116,159269,991,523025,1014,7675,39899.0,48087908,119402.0,42909987,88.5,78.9
2021-08-30,26476,6757650,672479.0,265189052,106,159153,996,522034,984,7335,19643.0,48048009,66648.0,42790585,88.4,78.7
2021-08-29,33196,6731423,707374.0,264472318,131,159047,852,521038,971,7106,24390.0,48028366,79440.0,42723937,88.4,78.59999999999998
2021-08-28,32406,6698486,720342.0,263736702,130,158916,860,520186,953,6975,43271.0,48003976,133688.0,42644497,88.29999999999998,78.5
2021-08-27,38046,6666399,889605.0,262982735,132,158786,937,519326,988,7080,44937.0,47960705,131456.0,42510809,88.2,78.2
2021-08-26,38281,6628709,948488.0,262049293,118,158654,950,518389,982,7028,55140.0,47915768,144936.0,42379353,88.2,78.0
2021-08-25,35847,6590747,923845.0,261026327,101,158536,1029,517439,974,6982,68076.0,47860628,161705.0,42234417,88.09999999999998,77.7
2021-08-24,30838,6555200,748739.0,260063891,113,158435,994,516410,957,6958,55410.0,47792552,130676.0,42072712,87.9,77.4
2021-08-23,31914,6524581,741817.0,259275279,116,158322,961,515416,942,7016,46401.0,47737142,131283.0,41942036,87.79999999999998,77.2
2021-08-22,32253,6492906,679665.0,258485673,123,158206,833,514455,963,6745,40345.0,47690741,116352.0,41810753,87.7,76.9
2021-08-21,32058,6460930,647034.0,257779268,112,158083,870,513622,955,6527,73006.0,47650396,194881.0,41694401,87.7,76.7
2021-08-20,37314,6429147,763706.0,257118343,122,157971,866,512752,955,6516,60885.0,47577390,167392.0,41499520,87.5,76.4
2021-08-19,36572,6392160,822777.0,256319014,110,157849,941,511886,928,6506,55979.0,47516505,175059.0,41332128,87.4,76.0
