Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
Global Total,6123019468,–,–,–,29115645
Mainland China,2194467000,78.4,78.6,73,3492857
India,855844677,31.3,45.9,16.1,7388179
EU,562043453,63.3,67.1,64.4,1028193
U.S.,389372689,60.8,64.2,55.2,693164
Brazil,230477848,55.8,70.7,40.6,1411550
Japan,156559895,62,68,56.1,951760
Indonesia,134509650,25.2,31.9,17.9,1695078
Turkey,107674356,64.7,64.2,52.3,389794
Germany,106863393,64.3,67.7,63.9,208001
Mexico,98282544,38.5,49.5,34.3,489211
France,93817818,72.4,77.2,74,208586
U.K.,93421423,69.9,72.9,66.9,73687
England,78293711,69.5,72.6,66.5,60676
London,11183358,62.4,65.4,59.3,10763
Scotland,7996647,73.2,76.4,70,6104
Wales,4617819,73.2,75.2,70.4,6411
Northern Ireland,2513246,66.4,69.1,63.6,1178
Russia,89301130,30.4,32.3,28.3,223501
Italy,83824777,69.4,74.1,74.2,226592
Pakistan,76141484,18.6,27.5,12.5,637049
Spain,69740837,75,80.8,78.2,95055
South Korea,60747624,58.7,73,44.5,308173
Canada,55744324,74.3,76.2,70.6,105789
Ontario,21614205,74.4,76.4,70.9,36647
Quebec,12995354,76.5,78.1,74.1,14164
British Columbia,7771314,76.5,78.9,72.2,12002
Alberta,5963532,68.5,70.3,62.9,26916
Manitoba,1968715,72,74.1,69.5,2130
Saskatchewan,1537270,65.6,67.5,60.7,3825
Nova Scotia,1496634,77.3,79.7,73.7,2400
New Brunswick,1155893,74.5,76.8,69.6,2699
Newfoundland and Labrador,809042,77.2,80.8,72.9,1112
Prince Edward Island,251706,80.3,83.2,76.3,758
Northwest Territories,68757,76.2,66.2,61.9,80
Yukon,66097,80.1,79,75.2,38
Nunavut,45805,59.4,63,55.3,57
Argentina,50634528,56.3,65.4,47.3,257760
Thailand,46023016,33.1,42.4,22.8,484301
Iran,43372270,26,35.5,16.8,1422950
Philippines,43088582,20.1,23.5,18.3,385793
Malaysia,42106397,64.6,69.4,59.4,278632
Saudi Arabia,41488511,60.9,68.1,53.5,112640
Bangladesh,39638948,11.9,14.3,9.5,477257
Morocco,39523919,55.5,60.6,50.4,344587
Colombia,39270198,39,50.7,32.5,156924
Poland,37144805,48.9,52,51,31818
Vietnam,36793910,19.1,30.6,7.5,632430
Chile,31345528,82,78,73.7,80884
Australia,26441588,51.8,61.8,40.6,292736
Sri Lanka,25813491,59.2,65.1,52.3,160630
Peru,25064193,37.8,45.5,29.7,272194
Cambodia,23538405,71.4,78.5,65.3,249400
Netherlands,23440062,68,70.3,63.6,18230
Ecuador,20571335,59.6,64.2,57,16381
UAE,19847232,92.3,85.6,75.7,62082
Cuba,19751634,87.1,77.8,42.3,321878
Uzbekistan,18526941,27.9,29.4,11.1,155946
Ukraine,17557067,21,29.1,13,154399
South Africa,16814890,16.1,20.6,14.2,120655
Belgium,16572780,72.3,74.7,72.9,20614
Portugal,15904393,77.4,86.8,83.7,42119
Israel,14884415,82.2,67.2,62,30415
Taiwan,14142461,30,51.2,8.8,138660
Venezuela,14050000,25.3,31.6,18.9,246316
Kazakhstan,13853000,37.2,40,34,60727
Egypt,13808798,7,8.8,5.1,256045
Sweden,13607052,65.9,69,62.8,31341
Nepal,12543333,22,22.4,20.9,111788
Greece,12041227,56.1,59.8,56.2,23117
Dominican Republic,11782825,56.9,58.2,54.3,23177
Czech Republic,11773801,55.3,57,55.7,9272
Hungary,11167215,57.1,60.1,57.5,5617
Austria,10781434,60.9,64.3,60.8,10633
Switzerland,10266591,60.1,63.7,54.9,31821
Liechtenstein,46380,–,–,–,221
Romania,10043006,25.9,27.9,27.3,15290
Algeria,9989662,11.5,13.4,9.6,284237
Singapore,9223226,80.8,81.9,80,18356
Myanmar,9001616,8.5,10.5,6.6,163440
Denmark,8804855,75.8,76.6,75,5116
Hong Kong,8550389,56.8,59.2,54.5,27695
Azerbaijan,8227729,41.2,46.9,35.5,52103
Norway,7728245,72.1,77,67.3,23747
Finland,7490200,67.9,74.7,61.1,18753
Iraq,7448300,9.5,11.7,7.3,110874
Tunisia,7384667,31.3,40.4,28.8,47013
El Salvador,7297994,56.5,62.1,51,38185
Ireland,7177111,72.5,76,73.8,10160
Jordan,6903943,34.3,36.4,32,16797
Bolivia,6636967,28.7,36.4,26.7,36330
Guatemala,6511719,18.5,24.4,12.5,63061
Serbia,6392974,45.9,43.4,41.4,19421
Nigeria,6255025,1.6,2.2,0.9,47510
Uruguay,6161536,87.5,77.5,72.8,20562
Costa Rica,5278407,52,64.5,39.5,58046
Panama,5252959,62.3,69.1,55.6,171433
Zimbabwe,5197363,17.4,20.3,14.6,30878
Honduras,5196072,26.6,32.8,20.4,46577
New Zealand,4917531,49.9,64.8,35,53804
Slovakia,4751520,43.6,44.6,41.1,5921
Qatar,4690049,83.9,84.4,79.4,5290
Oman,4636486,55.3,67,43.5,74904
Mongolia,4545348,68.9,68.2,64.5,16573
Paraguay,4477723,31.3,36.6,26,9563
Laos,4402770,30.7,39.1,26.7,9906
Tajikistan,3872421,20.8,24.8,16.8,70941
Mozambique,3644423,5.8,6.1,5.6,54234
Kenya,3600187,3.8,5.6,1.9,37468
Ethiopia,3493470,1.8,2.8,0.8,65503
Rwanda,3409470,13.7,15.9,11.6,45063
Croatia,3404014,41.8,44.3,41.6,6200
