areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-09-27,28,136374
overview,United Kingdom,K02000001,2021-09-26,46,136346
overview,United Kingdom,K02000001,2021-09-25,65,136300
overview,United Kingdom,K02000001,2021-09-24,76,136235
overview,United Kingdom,K02000001,2021-09-23,111,136159
overview,United Kingdom,K02000001,2021-09-22,126,136048
overview,United Kingdom,K02000001,2021-09-21,110,135922
overview,United Kingdom,K02000001,2021-09-20,123,135812
overview,United Kingdom,K02000001,2021-09-19,117,135689
overview,United Kingdom,K02000001,2021-09-18,120,135572
overview,United Kingdom,K02000001,2021-09-17,158,135452
overview,United Kingdom,K02000001,2021-09-16,147,135294
overview,United Kingdom,K02000001,2021-09-15,138,135147
overview,United Kingdom,K02000001,2021-09-14,149,135009
overview,United Kingdom,K02000001,2021-09-13,110,134860
overview,United Kingdom,K02000001,2021-09-12,139,134750
overview,United Kingdom,K02000001,2021-09-11,133,134611
overview,United Kingdom,K02000001,2021-09-10,142,134478
overview,United Kingdom,K02000001,2021-09-09,162,134336
overview,United Kingdom,K02000001,2021-09-08,135,134174
overview,United Kingdom,K02000001,2021-09-07,154,134039
overview,United Kingdom,K02000001,2021-09-06,137,133885
overview,United Kingdom,K02000001,2021-09-05,153,133748
overview,United Kingdom,K02000001,2021-09-04,133,133595
overview,United Kingdom,K02000001,2021-09-03,146,133462
overview,United Kingdom,K02000001,2021-09-02,126,133316
overview,United Kingdom,K02000001,2021-09-01,116,133190
overview,United Kingdom,K02000001,2021-08-31,115,133074
overview,United Kingdom,K02000001,2021-08-30,105,132959
overview,United Kingdom,K02000001,2021-08-29,128,132854
overview,United Kingdom,K02000001,2021-08-28,123,132726
overview,United Kingdom,K02000001,2021-08-27,127,132603
overview,United Kingdom,K02000001,2021-08-26,116,132476
overview,United Kingdom,K02000001,2021-08-25,100,132360
overview,United Kingdom,K02000001,2021-08-24,113,132260
overview,United Kingdom,K02000001,2021-08-23,113,132147
overview,United Kingdom,K02000001,2021-08-22,116,132034
overview,United Kingdom,K02000001,2021-08-21,104,131918
overview,United Kingdom,K02000001,2021-08-20,117,131814
overview,United Kingdom,K02000001,2021-08-19,107,131697
overview,United Kingdom,K02000001,2021-08-18,98,131590
overview,United Kingdom,K02000001,2021-08-17,105,131492
overview,United Kingdom,K02000001,2021-08-16,77,131387
overview,United Kingdom,K02000001,2021-08-15,84,131310
overview,United Kingdom,K02000001,2021-08-14,93,131226
overview,United Kingdom,K02000001,2021-08-13,103,131133
overview,United Kingdom,K02000001,2021-08-12,105,131030
overview,United Kingdom,K02000001,2021-08-11,87,130925
overview,United Kingdom,K02000001,2021-08-10,81,130838
overview,United Kingdom,K02000001,2021-08-09,79,130757
overview,United Kingdom,K02000001,2021-08-08,79,130678
overview,United Kingdom,K02000001,2021-08-07,95,130599
overview,United Kingdom,K02000001,2021-08-06,93,130504
overview,United Kingdom,K02000001,2021-08-05,99,130411
overview,United Kingdom,K02000001,2021-08-04,79,130312
overview,United Kingdom,K02000001,2021-08-03,74,130233
overview,United Kingdom,K02000001,2021-08-02,79,130159
overview,United Kingdom,K02000001,2021-08-01,93,130080
overview,United Kingdom,K02000001,2021-07-31,89,129987
overview,United Kingdom,K02000001,2021-07-30,105,129898
overview,United Kingdom,K02000001,2021-07-29,77,129793
overview,United Kingdom,K02000001,2021-07-28,86,129716
overview,United Kingdom,K02000001,2021-07-27,73,129630
overview,United Kingdom,K02000001,2021-07-26,74,129557
overview,United Kingdom,K02000001,2021-07-25,71,129483
overview,United Kingdom,K02000001,2021-07-24,71,129412
overview,United Kingdom,K02000001,2021-07-23,81,129341
overview,United Kingdom,K02000001,2021-07-22,76,129260
overview,United Kingdom,K02000001,2021-07-21,54,129184
overview,United Kingdom,K02000001,2021-07-20,57,129130
overview,United Kingdom,K02000001,2021-07-19,83,129073
overview,United Kingdom,K02000001,2021-07-18,66,128990
overview,United Kingdom,K02000001,2021-07-17,52,128924
overview,United Kingdom,K02000001,2021-07-16,50,128872
overview,United Kingdom,K02000001,2021-07-15,52,128822
overview,United Kingdom,K02000001,2021-07-14,42,128770
overview,United Kingdom,K02000001,2021-07-13,49,128728
overview,United Kingdom,K02000001,2021-07-12,39,128679
overview,United Kingdom,K02000001,2021-07-11,33,128640
overview,United Kingdom,K02000001,2021-07-10,42,128607
overview,United Kingdom,K02000001,2021-07-09,47,128565
overview,United Kingdom,K02000001,2021-07-08,38,128518
overview,United Kingdom,K02000001,2021-07-07,28,128480
overview,United Kingdom,K02000001,2021-07-06,32,128452
overview,United Kingdom,K02000001,2021-07-05,28,128420
overview,United Kingdom,K02000001,2021-07-04,28,128392
overview,United Kingdom,K02000001,2021-07-03,28,128364
overview,United Kingdom,K02000001,2021-07-02,27,128336
overview,United Kingdom,K02000001,2021-07-01,21,128309
overview,United Kingdom,K02000001,2021-06-30,21,128288
overview,United Kingdom,K02000001,2021-06-29,23,128267
overview,United Kingdom,K02000001,2021-06-28,12,128244
overview,United Kingdom,K02000001,2021-06-27,20,128232
overview,United Kingdom,K02000001,2021-06-26,17,128212
overview,United Kingdom,K02000001,2021-06-25,20,128195
overview,United Kingdom,K02000001,2021-06-24,21,128175
overview,United Kingdom,K02000001,2021-06-23,7,128154
overview,United Kingdom,K02000001,2021-06-22,13,128147
overview,United Kingdom,K02000001,2021-06-21,16,128134
overview,United Kingdom,K02000001,2021-06-20,23,128118
overview,United Kingdom,K02000001,2021-06-19,22,128095
overview,United Kingdom,K02000001,2021-06-18,13,128073
overview,United Kingdom,K02000001,2021-06-17,6,128060
overview,United Kingdom,K02000001,2021-06-16,11,128054
overview,United Kingdom,K02000001,2021-06-15,19,128043
overview,United Kingdom,K02000001,2021-06-14,9,128024
overview,United Kingdom,K02000001,2021-06-13,10,128015
overview,United Kingdom,K02000001,2021-06-12,13,128005
overview,United Kingdom,K02000001,2021-06-11,6,127992
overview,United Kingdom,K02000001,2021-06-10,11,127986
overview,United Kingdom,K02000001,2021-06-09,7,127975
overview,United Kingdom,K02000001,2021-06-08,8,127968
overview,United Kingdom,K02000001,2021-06-07,5,127960
overview,United Kingdom,K02000001,2021-06-06,6,127955
overview,United Kingdom,K02000001,2021-06-05,5,127949
overview,United Kingdom,K02000001,2021-06-04,9,127944
overview,United Kingdom,K02000001,2021-06-03,12,127935
overview,United Kingdom,K02000001,2021-06-02,10,127923
overview,United Kingdom,K02000001,2021-06-01,4,127913
overview,United Kingdom,K02000001,2021-05-31,7,127909
overview,United Kingdom,K02000001,2021-05-30,8,127902
overview,United Kingdom,K02000001,2021-05-29,7,127894
overview,United Kingdom,K02000001,2021-05-28,8,127887
overview,United Kingdom,K02000001,2021-05-27,8,127879
overview,United Kingdom,K02000001,2021-05-26,11,127871
overview,United Kingdom,K02000001,2021-05-25,4,127860
overview,United Kingdom,K02000001,2021-05-24,9,127856
overview,United Kingdom,K02000001,2021-05-23,7,127847
overview,United Kingdom,K02000001,2021-05-22,4,127840
overview,United Kingdom,K02000001,2021-05-21,7,127836
overview,United Kingdom,K02000001,2021-05-20,5,127829
overview,United Kingdom,K02000001,2021-05-19,5,127824
overview,United Kingdom,K02000001,2021-05-18,6,127819
overview,United Kingdom,K02000001,2021-05-17,7,127813
overview,United Kingdom,K02000001,2021-05-16,8,127806
overview,United Kingdom,K02000001,2021-05-15,7,127798
overview,United Kingdom,K02000001,2021-05-14,6,127791
overview,United Kingdom,K02000001,2021-05-13,5,127785
overview,United Kingdom,K02000001,2021-05-12,11,127780
overview,United Kingdom,K02000001,2021-05-11,14,127769
overview,United Kingdom,K02000001,2021-05-10,8,127755
overview,United Kingdom,K02000001,2021-05-09,9,127747
overview,United Kingdom,K02000001,2021-05-08,8,127738
overview,United Kingdom,K02000001,2021-05-07,10,127730
overview,United Kingdom,K02000001,2021-05-06,10,127720
overview,United Kingdom,K02000001,2021-05-05,12,127710
overview,United Kingdom,K02000001,2021-05-04,10,127698
overview,United Kingdom,K02000001,2021-05-03,8,127688
overview,United Kingdom,K02000001,2021-05-02,12,127680
overview,United Kingdom,K02000001,2021-05-01,8,127668
overview,United Kingdom,K02000001,2021-04-30,8,127660
overview,United Kingdom,K02000001,2021-04-29,13,127652
overview,United Kingdom,K02000001,2021-04-28,14,127639
overview,United Kingdom,K02000001,2021-04-27,12,127625
overview,United Kingdom,K02000001,2021-04-26,12,127613
overview,United Kingdom,K02000001,2021-04-25,15,127601
overview,United Kingdom,K02000001,2021-04-24,8,127586
overview,United Kingdom,K02000001,2021-04-23,21,127578
overview,United Kingdom,K02000001,2021-04-22,16,127557
overview,United Kingdom,K02000001,2021-04-21,24,127541
overview,United Kingdom,K02000001,2021-04-20,19,127517
overview,United Kingdom,K02000001,2021-04-19,18,127498
overview,United Kingdom,K02000001,2021-04-18,17,127480
