areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
overview,United Kingdom,K02000001,2021-09-17,78,161446
overview,United Kingdom,K02000001,2021-09-16,93,161368
overview,United Kingdom,K02000001,2021-09-15,123,161275
overview,United Kingdom,K02000001,2021-09-14,124,161152
overview,United Kingdom,K02000001,2021-09-13,97,161028
overview,United Kingdom,K02000001,2021-09-12,119,160931
overview,United Kingdom,K02000001,2021-09-11,129,160812
overview,United Kingdom,K02000001,2021-09-10,141,160683
overview,United Kingdom,K02000001,2021-09-09,167,160542
overview,United Kingdom,K02000001,2021-09-08,132,160375
overview,United Kingdom,K02000001,2021-09-07,156,160243
overview,United Kingdom,K02000001,2021-09-06,147,160087
overview,United Kingdom,K02000001,2021-09-05,147,159940
overview,United Kingdom,K02000001,2021-09-04,132,159793
overview,United Kingdom,K02000001,2021-09-03,146,159661
overview,United Kingdom,K02000001,2021-09-02,133,159515
overview,United Kingdom,K02000001,2021-09-01,113,159382
overview,United Kingdom,K02000001,2021-08-31,116,159269
overview,United Kingdom,K02000001,2021-08-30,106,159153
overview,United Kingdom,K02000001,2021-08-29,131,159047
overview,United Kingdom,K02000001,2021-08-28,130,158916
overview,United Kingdom,K02000001,2021-08-27,132,158786
overview,United Kingdom,K02000001,2021-08-26,118,158654
overview,United Kingdom,K02000001,2021-08-25,101,158536
overview,United Kingdom,K02000001,2021-08-24,113,158435
overview,United Kingdom,K02000001,2021-08-23,116,158322
overview,United Kingdom,K02000001,2021-08-22,123,158206
overview,United Kingdom,K02000001,2021-08-21,112,158083
overview,United Kingdom,K02000001,2021-08-20,122,157971
overview,United Kingdom,K02000001,2021-08-19,110,157849
overview,United Kingdom,K02000001,2021-08-18,104,157739
overview,United Kingdom,K02000001,2021-08-17,96,157635
overview,United Kingdom,K02000001,2021-08-16,84,157539
overview,United Kingdom,K02000001,2021-08-15,89,157455
overview,United Kingdom,K02000001,2021-08-14,101,157366
overview,United Kingdom,K02000001,2021-08-13,94,157265
overview,United Kingdom,K02000001,2021-08-12,100,157171
overview,United Kingdom,K02000001,2021-08-11,85,157071
overview,United Kingdom,K02000001,2021-08-10,83,156986
overview,United Kingdom,K02000001,2021-08-09,83,156903
overview,United Kingdom,K02000001,2021-08-08,82,156820
overview,United Kingdom,K02000001,2021-08-07,105,156738
overview,United Kingdom,K02000001,2021-08-06,93,156633
overview,United Kingdom,K02000001,2021-08-05,96,156540
overview,United Kingdom,K02000001,2021-08-04,91,156444
overview,United Kingdom,K02000001,2021-08-03,76,156353
overview,United Kingdom,K02000001,2021-08-02,90,156277
overview,United Kingdom,K02000001,2021-08-01,96,156187
overview,United Kingdom,K02000001,2021-07-31,88,156091
overview,United Kingdom,K02000001,2021-07-30,98,156003
overview,United Kingdom,K02000001,2021-07-29,85,155905
overview,United Kingdom,K02000001,2021-07-28,80,155820
overview,United Kingdom,K02000001,2021-07-27,74,155740
overview,United Kingdom,K02000001,2021-07-26,76,155666
overview,United Kingdom,K02000001,2021-07-25,69,155590
overview,United Kingdom,K02000001,2021-07-24,65,155521
overview,United Kingdom,K02000001,2021-07-23,78,155456
overview,United Kingdom,K02000001,2021-07-22,83,155378
overview,United Kingdom,K02000001,2021-07-21,60,155295
overview,United Kingdom,K02000001,2021-07-20,65,155235
overview,United Kingdom,K02000001,2021-07-19,86,155170
overview,United Kingdom,K02000001,2021-07-18,71,155084
overview,United Kingdom,K02000001,2021-07-17,59,155013
overview,United Kingdom,K02000001,2021-07-16,53,154954
overview,United Kingdom,K02000001,2021-07-15,52,154901
overview,United Kingdom,K02000001,2021-07-14,45,154849
overview,United Kingdom,K02000001,2021-07-13,49,154804
overview,United Kingdom,K02000001,2021-07-12,39,154755
overview,United Kingdom,K02000001,2021-07-11,35,154716
overview,United Kingdom,K02000001,2021-07-10,43,154681
overview,United Kingdom,K02000001,2021-07-09,48,154638
overview,United Kingdom,K02000001,2021-07-08,41,154590
overview,United Kingdom,K02000001,2021-07-07,35,154549
overview,United Kingdom,K02000001,2021-07-06,34,154514
overview,United Kingdom,K02000001,2021-07-05,28,154480
overview,United Kingdom,K02000001,2021-07-04,29,154452
overview,United Kingdom,K02000001,2021-07-03,30,154423
overview,United Kingdom,K02000001,2021-07-02,30,154393
overview,United Kingdom,K02000001,2021-07-01,28,154363
overview,United Kingdom,K02000001,2021-06-30,26,154335
overview,United Kingdom,K02000001,2021-06-29,24,154309
overview,United Kingdom,K02000001,2021-06-28,18,154285
overview,United Kingdom,K02000001,2021-06-27,24,154267
overview,United Kingdom,K02000001,2021-06-26,17,154243
overview,United Kingdom,K02000001,2021-06-25,21,154226
overview,United Kingdom,K02000001,2021-06-24,28,154205
overview,United Kingdom,K02000001,2021-06-23,8,154177
overview,United Kingdom,K02000001,2021-06-22,17,154169
overview,United Kingdom,K02000001,2021-06-21,12,154152
overview,United Kingdom,K02000001,2021-06-20,21,154140
overview,United Kingdom,K02000001,2021-06-19,19,154119
overview,United Kingdom,K02000001,2021-06-18,17,154100
overview,United Kingdom,K02000001,2021-06-17,9,154083
overview,United Kingdom,K02000001,2021-06-16,13,154074
overview,United Kingdom,K02000001,2021-06-15,20,154061
overview,United Kingdom,K02000001,2021-06-14,12,154041
overview,United Kingdom,K02000001,2021-06-13,12,154029
overview,United Kingdom,K02000001,2021-06-12,11,154017
overview,United Kingdom,K02000001,2021-06-11,13,154006
overview,United Kingdom,K02000001,2021-06-10,16,153993
overview,United Kingdom,K02000001,2021-06-09,16,153977
overview,United Kingdom,K02000001,2021-06-08,15,153961
