areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-09-24,706,544504
overview,United Kingdom,K02000001,2021-09-23,753,543798
overview,United Kingdom,K02000001,2021-09-22,726,543045
overview,United Kingdom,K02000001,2021-09-21,781,542319
overview,United Kingdom,K02000001,2021-09-20,799,541538
overview,United Kingdom,K02000001,2021-09-19,723,540739
overview,United Kingdom,K02000001,2021-09-18,754,540016
overview,United Kingdom,K02000001,2021-09-17,751,539262
overview,United Kingdom,K02000001,2021-09-16,878,538511
overview,United Kingdom,K02000001,2021-09-15,938,537633
overview,United Kingdom,K02000001,2021-09-14,939,536695
overview,United Kingdom,K02000001,2021-09-13,931,535756
overview,United Kingdom,K02000001,2021-09-12,858,534825
overview,United Kingdom,K02000001,2021-09-11,850,533967
overview,United Kingdom,K02000001,2021-09-10,916,533117
overview,United Kingdom,K02000001,2021-09-09,1030,532201
overview,United Kingdom,K02000001,2021-09-08,1161,531171
overview,United Kingdom,K02000001,2021-09-07,1096,530010
overview,United Kingdom,K02000001,2021-09-06,1071,528914
overview,United Kingdom,K02000001,2021-09-05,876,527843
overview,United Kingdom,K02000001,2021-09-04,946,526967
overview,United Kingdom,K02000001,2021-09-03,923,526021
overview,United Kingdom,K02000001,2021-09-02,998,525098
overview,United Kingdom,K02000001,2021-09-01,1075,524100
overview,United Kingdom,K02000001,2021-08-31,991,523025
overview,United Kingdom,K02000001,2021-08-30,996,522034
overview,United Kingdom,K02000001,2021-08-29,852,521038
overview,United Kingdom,K02000001,2021-08-28,860,520186
overview,United Kingdom,K02000001,2021-08-27,937,519326
overview,United Kingdom,K02000001,2021-08-26,950,518389
overview,United Kingdom,K02000001,2021-08-25,1029,517439
overview,United Kingdom,K02000001,2021-08-24,994,516410
overview,United Kingdom,K02000001,2021-08-23,961,515416
overview,United Kingdom,K02000001,2021-08-22,833,514455
overview,United Kingdom,K02000001,2021-08-21,870,513622
overview,United Kingdom,K02000001,2021-08-20,866,512752
overview,United Kingdom,K02000001,2021-08-19,941,511886
overview,United Kingdom,K02000001,2021-08-18,908,510945
overview,United Kingdom,K02000001,2021-08-17,965,510037
overview,United Kingdom,K02000001,2021-08-16,870,509072
overview,United Kingdom,K02000001,2021-08-15,808,508202
overview,United Kingdom,K02000001,2021-08-14,788,507394
overview,United Kingdom,K02000001,2021-08-13,787,506606
overview,United Kingdom,K02000001,2021-08-12,858,505819
overview,United Kingdom,K02000001,2021-08-11,845,504961
overview,United Kingdom,K02000001,2021-08-10,892,504116
overview,United Kingdom,K02000001,2021-08-09,755,503224
overview,United Kingdom,K02000001,2021-08-08,741,502469
overview,United Kingdom,K02000001,2021-08-07,725,501728
overview,United Kingdom,K02000001,2021-08-06,779,501003
overview,United Kingdom,K02000001,2021-08-05,809,500224
overview,United Kingdom,K02000001,2021-08-04,835,499415
overview,United Kingdom,K02000001,2021-08-03,762,498580
overview,United Kingdom,K02000001,2021-08-02,785,497818
overview,United Kingdom,K02000001,2021-08-01,740,497033
