국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
미국,🇺🇸,43728094,9857997,22378,706073,33164024,1.6,75.8,132177,331002651,U.S.,389372689,60.8,64.2,55.2,693164
인도,🇮🇳,33673010,308341,8944,447169,32917500,1.3,97.8,24405,1380004385,India,855844677,31.3,45.9,16.1,7388179
브라질,🇧🇷,21343304,415150,8318,594246,20333908,2.8,95.3,100452,212559417,Brazil,230477848,55.8,70.7,40.6,1411550
영국,🇬🇧,7631233,1335993,916,136105,6159135,1.8,80.7,112899,67886011,U.K.,93421423,69.9,72.9,66.9,73687
러시아,🇷🇺,7420913,612409,2300,203900,6604604,2.7,89,51003,145934462,Russia,89301130,30.4,32.3,28.3,223501
터키,🇹🇷,7013639,478301,633,62938,6472400,0.9,92.3,83467,84339067,Turkey,107674356,64.7,64.2,52.3,389794
프랑스,🇫🇷,6989613,153161,1609,116449,6720003,1.7,96.1,107154,65273511,France,93817818,72.4,77.2,74,208586
이란,🇮🇷,5533520,470073,6320,119360,4944087,2.2,89.3,66053,83992949,Iran,43372270,26,35.5,16.8,1422950
아르헨티나,🇦🇷,5249840,25138,1248,114849,5109853,2.2,97.3,116170,45195774,Argentina,50634528,56.3,65.4,47.3,257760
콜롬비아,🇨🇴,4950253,34023,542,126102,4790128,2.5,96.8,97315,50882891,Colombia,39270198,39,50.7,32.5,156924
스페인,🇪🇸,4946601,152205,837,86229,4708167,1.7,95.2,105799,46754778,Spain,69740837,75,80.8,78.2,95055
이탈리아,🇮🇹,4657215,102574,481,130653,4423988,2.8,95,77079,60461826,Italy,83824777,69.4,74.1,74.2,226592
인도네시아,🇮🇩,4208013,42769,,141467,4023777,3.4,95.6,15390,273523615,Indonesia,134509650,25.2,31.9,17.9,1695078
독일,🇩🇪,4202185,150218,1435,93967,3958000,2.2,94.2,50204,83783942,Germany,106863393,64.3,67.7,63.9,208001
멕시코,🇲🇽,3628812,375213,4798,275299,2978300,7.6,82.1,28176,128932753,Mexico,98282544,38.5,49.5,34.3,489211
폴란드,🇵🇱,2903234,166313,148,75572,2661349,2.6,91.7,76722,37846611,Poland,37144805,48.9,52,51,31818
남아프리카 공화국,🇿🇦,2895976,50701,546,87001,2758274,3,95.2,48845,59308690,South Africa,16814890,16.1,20.6,14.2,120655
필리핀,🇵🇭,2490858,161447,3170,37405,2292006,1.5,92,22731,109581078,Philippines,43088582,20.1,23.5,18.3,385793
우크라이나,🇺🇦,2392397,92579,177,55626,2244192,2.3,93.8,54772,43733762,Ukraine,17557067,21,29.1,13,154399
